lineup_id,P,C1B,2B,3B,SS,OF1,OF2,OF3,UTIL
846,p1,c1,b2a,b3b,ut3,of2,of1,of5,b2b
847,p1,c2,b2b,b3a,ss2,of3,of2,of4,ut3
848,p1,ut1,b2a,b3a,ss1,of2,of5,of4,of1
849,p1,c1,ut2,b3b,ss1,of5,of3,of4,ut1
850,p1,c1,b2a,b3b,ss2,of1,of5,of2,ut1
851,p1,c1,ut2,b3a,ss2,of3,of2,of5,ss1
852,p2,ut1,b2b,b3b,ss2,of2,of1,of5,b3a
853,p1,c2,b2b,b3a,ut3,of1,of2,of3,c1
854,p2,c1,ut2,b3b,ss1,of3,of2,of1,ut3
855,p1,ut1,b2a,b3a,ss2,of2,of1,of3,ut2
856,p2,c1,ut2,b3b,ss2,of3,of5,of1,of4
857,p2,c1,b2a,b3b,ss1,of2,of5,of4,ut3
858,p1,c2,b2b,b3a,ut3,of2,of3,of4,of1
859,p1,c1,b2a,b3a,ss1,of2,of3,of1,b2b
860,p2,c2,b2b,b3a,ss2,of1,of2,of3,b2a
861,p2,c2,b2b,b3a,ss1,of3,of5,of1,ut2
862,p1,ut1,b2b,b3a,ss2,of5,of2,of1,ut2
863,p2,c1,b2b,b3b,ss2,of4,of2,of3,ss1
864,p1,c1,ut2,b3a,ss1,of5,of3,of2,ut1
865,p1,ut1,b2b,b3a,ss2,of1,of5,of4,c1
866,p1,c1,b2b,b3a,ss2,of4,of2,of5,of1
867,p1,ut1,b2b,b3b,ut3,of2,of3,of5,ss1
868,p2,ut1,b2a,b3b,ut3,of1,of2,of3,of4
869,p2,ut1,b2a,b3b,ss1,of1,of4,of3,c1
870,p1,c2,b2a,b3b,ss1,of3,of5,of2,of4
871,p2,c2,b2b,b3b,ut3,of1,of2,of4,of3
872,p1,c2,ut2,b3b,ut3,of1,of5,of3,ut1
873,p1,c1,ut2,b3b,ss2,of2,of5,of3,ut1
874,p2,c1,b2a,b3a,ss1,of2,of1,of3,b2b
875,p2,c2,ut2,b3b,ss1,of3,of4,of1,b2b
876,p1,ut1,b2a,b3b,ss1,of2,of5,of4,ut2
877,p2,ut1,b2b,b3b,ss1,of1,of2,of3,c1
878,p1,ut1,b2b,b3a,ss2,of5,of2,of1,b2a
879,p2,c1,b2b,b3b,ss1,of2,of5,of3,ut1
880,p2,c1,b2b,b3a,ss1,of1,of2,of4,of3
881,p2,ut1,ut2,b3a,ut3,of3,of2,of5,ss1
882,p1,ut1,ut2,b3a,ss1,of2,of5,of4,c2
883,p1,c1,b2a,b3a,ss1,of1,of5,of3,ss2
884,p1,ut1,b2a,b3a,ss2,of4,of5,of2,ut2
885,p2,ut1,b2a,b3a,ss1,of3,of1,of4,b2b
886,p1,c2,b2b,b3b,ss2,of3,of5,of1,ut3
887,p1,ut1,b2a,b3b,ss2,of1,of4,of2,of5
888,p2,c2,b2a,b3b,ss2,of4,of5,of1,b2b
889,p1,c2,b2b,b3a,ss1,of3,of2,of4,ut3
890,p1,ut1,b2b,b3b,ss2,of2,of1,of4,of5
891,p1,ut1,ut2,b3a,ss1,of1,of5,of4,ut3
892,p1,c1,ut2,b3b,ss2,of2,of4,of1,c2
893,p2,c2,b2a,b3a,ss1,of2,of1,of5,ss2
894,p2,c2,b2a,b3b,ss2,of3,of1,of5,c1
895,p2,c2,b2b,b3a,ss1,of2,of5,of4,b3b
896,p1,c1,b2b,b3b,ss2,of1,of4,of5,ut2
897,p1,ut1,b2b,b3b,ut3,of2,of4,of1,b3a
898,p2,c2,b2a,b3a,ss1,of1,of3,of2,of4
899,p1,c1,b2b,b3b,ss2,of2,of5,of3,ut2
900,p2,c2,b2b,b3a,ut3,of1,of2,of4,ss2
901,p2,c1,ut2,b3a,ss1,of5,of3,of2,ut1
902,p1,c1,ut2,b3b,ss2,of1,of4,of2,ut3
903,p2,c1,ut2,b3b,ss2,of1,of3,of5,ss1
904,p2,c1,b2a,b3b,ss2,of3,of4,of2,of5
905,p1,c2,ut2,b3b,ss1,of3,of2,of1,c1
906,p1,c2,b2a,b3b,ss2,of2,of3,of1,ut3
907,p2,c2,b2a,b3b,ss1,of4,of5,of3,ut2
908,p2,ut1,b2a,b3a,ss1,of4,of1,of5,b2b
909,p1,ut1,b2b,b3b,ss2,of2,of3,of4,of5
910,p2,c2,b2a,b3b,ss2,of1,of5,of3,ut1
911,p2,c2,ut2,b3a,ss1,of5,of4,of2,ut1
912,p2,c1,b2a,b3a,ss2,of1,of5,of3,ut2
913,p2,c2,b2b,b3a,ss1,of1,of4,of5,ut1
914,p1,c1,b2a,b3b,ut3,of2,of1,of4,ut2
915,p1,c2,b2a,b3a,ss2,of1,of5,of3,c1
916,p2,c2,b2b,b3b,ss2,of4,of2,of3,ss1
917,p1,c2,b2a,b3b,ss2,of1,of5,of4,of3
918,p2,c1,ut2,b3a,ss2,of5,of3,of2,ut1
919,p1,c1,ut2,b3a,ss2,of3,of1,of4,of5
920,p2,c2,b2a,b3a,ss2,of1,of3,of2,c1
921,p1,c1,b2b,b3a,ss2,of2,of5,of3,ut2
922,p2,c2,b2b,b3a,ss1,of2,of4,of1,ut2
923,p1,ut1,ut2,b3b,ss2,of3,of1,of4,of2
924,p2,ut1,b2a,b3b,ss1,of2,of5,of3,c1
925,p2,c1,ut2,b3a,ss2,of5,of3,of2,of4
926,p1,ut1,b2a,b3b,ss2,of2,of5,of3,ut3
927,p1,c1,ut2,b3a,ut3,of1,of5,of2,ut1
928,p2,c1,b2a,b3a,ss2,of1,of5,of4,ut2
929,p2,ut1,b2b,b3a,ss2,of1,of2,of4,c2
930,p1,ut1,b2a,b3a,ss1,of4,of1,of3,ut2
931,p2,c2,b2b,b3b,ss2,of3,of5,of1,c1
932,p2,ut1,ut2,b3a,ss2,of4,of2,of5,b2b
933,p2,c2,b2b,b3b,ss2,of1,of5,of4,c1
934,p2,c1,ut2,b3b,ss1,of1,of2,of4,ut3
935,p2,c2,ut2,b3b,ut3,of1,of4,of2,of5
936,p1,c1,ut2,b3b,ss1,of1,of5,of4,b3a
937,p1,c1,ut2,b3b,ss1,of3,of1,of4,of2
938,p1,c1,ut2,b3b,ss1,of3,of4,of5,b3a
939,p1,c2,b2b,b3b,ut3,of1,of4,of2,of3
940,p2,c2,ut2,b3b,ss2,of2,of5,of4,ss1
941,p1,c2,b2b,b3b,ss2,of4,of5,of1,ut3
942,p2,c2,b2b,b3b,ss1,of1,of3,of2,b3a
943,p1,c2,b2b,b3b,ss1,of4,of5,of3,ss2
944,p1,c2,ut2,b3b,ss2,of1,of4,of3,b3a
945,p2,c2,b2b,b3b,ut3,of4,of5,of1,ss1
946,p1,ut1,b2b,b3a,ss2,of1,of3,of4,ut3
947,p1,c1,b2a,b3b,ut3,of2,of1,of4,b2b
948,p1,c1,b2b,b3a,ss2,of1,of4,of3,ut2
949,p2,ut1,ut2,b3a,ss1,of1,of2,of4,ut3
950,p2,ut1,b2b,b3a,ss1,of5,of2,of4,ss2
951,p2,c1,b2b,b3b,ss2,of1,of2,of4,of3
952,p2,c2,ut2,b3b,ss2,of2,of5,of3,ss1
953,p2,c1,b2b,b3a,ss2,of1,of2,of4,c2
954,p1,c2,ut2,b3b,ut3,of1,of5,of4,ut1
955,p2,c2,b2b,b3b,ut3,of4,of5,of3,ut2
956,p1,ut1,b2a,b3a,ss2,of1,of5,of3,ut3
957,p2,c2,b2a,b3b,ut3,of1,of4,of5,b3a
958,p1,c1,ut2,b3b,ut3,of2,of5,of4,b2a
959,p2,c2,ut2,b3b,ss1,of3,of5,of1,c1
960,p1,c1,ut2,b3b,ss1,of2,of5,of3,ut1
961,p2,ut1,b2b,b3b,ss1,of1,of4,of3,ss2
962,p1,c2,b2b,b3b,ss1,of2,of5,of4,b2a
963,p2,c2,b2a,b3a,ss2,of1,of5,of2,of4
964,p2,ut1,b2b,b3b,ss1,of2,of4,of3,of1
965,p1,c2,b2a,b3a,ss2,of4,of5,of2,ut2
966,p1,c1,b2b,b3a,ss2,of3,of1,of2,b2a
967,p1,c2,b2b,b3b,ss2,of3,of5,of1,of2
968,p2,c1,ut2,b3b,ss2,of1,of4,of5,ut1
969,p2,c2,b2a,b3b,ss1,of1,of3,of2,ut1
970,p1,c1,ut2,b3a,ss2,of2,of5,of3,ut1
971,p2,c2,b2a,b3b,ss1,of3,of2,of1,ut3
972,p2,c2,ut2,b3b,ss1,of2,of5,of3,c1
973,p1,c2,ut2,b3a,ss2,of1,of3,of5,b2b
974,p1,c2,b2a,b3b,ss2,of1,of5,of3,c1
975,p2,c1,b2a,b3a,ss1,of1,of3,of2,of5
976,p1,c1,b2b,b3b,ss1,of1,of4,of3,ut1
977,p1,c2,b2a,b3b,ss1,of1,of4,of3,c1
978,p2,c2,ut2,b3a,ss1,of1,of2,of4,of5
979,p1,ut1,b2b,b3a,ss2,of1,of2,of4,ut2
980,p2,c1,b2b,b3a,ss2,of1,of5,of4,ut2
981,p2,c1,b2b,b3b,ss2,of1,of4,of5,b3a
982,p1,ut1,b2b,b3b,ss2,of2,of3,of1,of5
983,p1,c2,b2a,b3b,ss1,of4,of3,of2,b2b
984,p1,c2,ut2,b3b,ut3,of3,of2,of1,c1
985,p1,ut1,b2b,b3b,ut3,of2,of1,of3,ut2
986,p2,c2,b2a,b3b,ss1,of2,of1,of4,c1
987,p2,c2,b2a,b3a,ut3,of3,of1,of5,b2b
988,p2,ut1,b2b,b3a,ss2,of1,of5,of4,ut3
989,p2,c2,b2a,b3a,ss1,of3,of4,of2,ut1
990,p1,c2,ut2,b3b,ss1,of3,of5,of4,ss2
991,p1,ut1,b2b,b3b,ss2,of5,of4,of1,ut2
992,p1,c2,ut2,b3b,ss2,of3,of4,of2,ut1
993,p1,c2,b2a,b3a,ss1,of3,of1,of5,ss2
994,p2,c1,b2a,b3a,ss1,of1,of3,of2,b3b
995,p2,c1,ut2,b3b,ss1,of5,of2,of4,ut3
996,p2,c2,b2b,b3b,ss1,of2,of4,of5,ss2
997,p1,c2,ut2,b3a,ut3,of3,of1,of4,b2b
998,p2,c2,ut2,b3b,ss1,of1,of3,of2,ut1
999,p2,ut1,b2b,b3b,ss2,of4,of5,of3,ss1
1000,p1,ut1,b2b,b3a,ss2,of2,of4,of3,c2
1001,p1,c2,b2b,b3b,ss2,of2,of3,of4,of1
1002,p2,ut1,ut2,b3a,ss2,of1,of3,of4,c1
1003,p1,c2,ut2,b3a,ss2,of1,of2,of3,of4
1004,p2,c2,ut2,b3b,ss2,of3,of1,of5,c1
1005,p1,c2,ut2,b3a,ss2,of1,of2,of5,c1
1006,p2,c1,b2a,b3a,ss2,of1,of2,of4,c2
1007,p2,c2,b2a,b3a,ss1,of3,of1,of5,c1
1008,p2,c2,b2a,b3b,ss2,of5,of4,of3,b2b
1009,p1,c2,b2a,b3a,ss1,of3,of2,of4,b2b
1010,p2,c1,ut2,b3b,ss2,of5,of1,of2,b2a
1011,p1,c2,b2b,b3a,ss2,of2,of5,of1,ut3
1012,p1,c1,b2b,b3a,ss2,of2,of3,of1,of5
1013,p2,c2,ut2,b3b,ss1,of3,of4,of1,ut3
1014,p2,c2,b2a,b3b,ut3,of1,of5,of2,ut1
1015,p2,c1,b2b,b3b,ss2,of3,of5,of1,ut3
1016,p1,ut1,b2b,b3a,ss2,of1,of5,of4,ut3
1017,p2,c1,b2b,b3b,ut3,of1,of5,of4,ut1
1018,p1,c2,ut2,b3a,ss2,of1,of4,of2,c1
1019,p1,c2,b2a,b3b,ss1,of2,of1,of4,ut2
1020,p1,ut1,ut2,b3b,ss1,of1,of4,of3,b3a
1021,p2,c1,b2b,b3b,ss2,of5,of1,of3,ss1
1022,p2,c2,b2b,b3a,ut3,of5,of1,of3,ss1
1023,p1,c1,b2a,b3b,ss1,of1,of3,of4,of5
1024,p2,c2,b2b,b3b,ut3,of1,of3,of4,c1
1025,p2,ut1,b2a,b3b,ut3,of1,of2,of4,c1
1026,p2,c1,ut2,b3a,ss2,of2,of5,of4,c2
1027,p2,c2,b2a,b3a,ss2,of5,of3,of4,ut1
1028,p1,ut1,b2b,b3a,ss1,of2,of1,of4,ut2
1029,p2,c2,ut2,b3b,ut3,of2,of5,of3,ss1
1030,p1,ut1,b2b,b3b,ut3,of2,of5,of4,of3
1031,p2,c2,ut2,b3a,ss2,of1,of5,of2,c1
1032,p2,c2,ut2,b3a,ss1,of1,of3,of5,ut1
1033,p1,ut1,b2b,b3a,ss2,of5,of2,of4,b2a
1034,p2,c2,b2a,b3a,ss1,of2,of5,of1,ut2
1035,p1,c1,b2b,b3a,ss2,of5,of1,of2,ut1
1036,p1,c1,b2b,b3b,ut3,of1,of4,of5,b2a
1037,p2,c1,b2b,b3a,ss2,of2,of4,of5,b3b
1038,p1,c1,b2a,b3a,ss1,of2,of3,of5,ut2
1039,p1,c1,b2b,b3b,ss2,of3,of1,of4,of5
1040,p1,c1,b2a,b3a,ss2,of2,of5,of3,ut2
1041,p2,c2,ut2,b3b,ss1,of1,of4,of5,b3a
1042,p2,ut1,b2a,b3b,ss1,of1,of2,of3,ss2
1043,p2,c1,b2a,b3b,ss2,of1,of3,of2,ut1
1044,p2,c2,b2b,b3a,ut3,of2,of5,of4,ut2
1045,p1,c2,b2b,b3b,ut3,of4,of5,of3,ut2
1046,p2,c1,ut2,b3b,ss1,of3,of5,of4,b3a
1047,p1,c2,ut2,b3a,ss1,of5,of3,of2,ut1
1048,p1,c1,b2b,b3b,ut3,of1,of4,of2,of3
1049,p1,ut1,b2b,b3a,ss2,of2,of3,of4,ss1
1050,p1,c1,b2a,b3a,ss2,of2,of4,of1,b2b
1051,p2,ut1,ut2,b3a,ss2,of1,of2,of4,b2a
1052,p1,c1,b2b,b3a,ss2,of1,of4,of5,ss1
1053,p2,c1,b2b,b3a,ut3,of2,of1,of4,ss1
1054,p2,c2,b2b,b3a,ss1,of1,of3,of5,ut1
1055,p2,c1,b2b,b3a,ss2,of1,of5,of2,ut2
1056,p2,c1,b2b,b3b,ss2,of2,of1,of3,ut2
1057,p2,c2,ut2,b3a,ss2,of1,of4,of5,ss1
1058,p2,c1,b2b,b3b,ut3,of2,of1,of5,b3a
1059,p2,c1,b2a,b3a,ss1,of2,of5,of4,of1
1060,p2,ut1,b2b,b3a,ss1,of1,of2,of3,b3b
1061,p2,c2,b2a,b3a,ss1,of4,of2,of5,b2b
1062,p2,c1,b2b,b3a,ss2,of4,of1,of5,c2
1063,p2,c2,b2b,b3b,ut3,of1,of2,of4,ss2
1064,p1,c2,ut2,b3a,ut3,of1,of5,of3,ss1
1065,p1,c2,ut2,b3a,ss2,of4,of5,of3,ss1
1066,p1,c2,ut2,b3a,ss2,of1,of5,of3,ut1
1067,p2,c2,b2a,b3a,ss1,of1,of3,of5,ss2
1068,p1,c2,ut2,b3a,ss1,of3,of2,of4,b2b
1069,p1,c1,b2b,b3b,ss2,of1,of4,of5,ss1
1070,p1,c2,b2a,b3b,ss2,of1,of3,of2,c1
1071,p2,c1,b2b,b3b,ut3,of5,of2,of4,of3
1072,p2,c1,b2b,b3b,ss2,of3,of1,of4,ut3
1073,p2,ut1,b2a,b3b,ss2,of1,of3,of4,b3a
1074,p1,c2,b2b,b3b,ut3,of1,of2,of4,c1
1075,p2,c1,b2a,b3b,ss1,of1,of2,of3,of4
1076,p1,c1,b2a,b3a,ss2,of5,of3,of2,b2b
1077,p1,c1,ut2,b3b,ss2,of2,of5,of3,of1
1078,p2,ut1,b2b,b3b,ut3,of2,of5,of3,ut2
1079,p2,c2,b2a,b3a,ss2,of2,of5,of1,ut3
1080,p2,c2,b2b,b3a,ut3,of2,of5,of1,ut2
1081,p1,c1,b2b,b3b,ss2,of4,of5,of3,ut2
1082,p1,ut1,ut2,b3b,ss1,of1,of4,of3,b2a
1083,p2,c1,b2b,b3b,ss2,of3,of1,of2,of5
1084,p2,c1,b2b,b3a,ut3,of4,of2,of5,ut1
1085,p1,ut1,b2b,b3a,ut3,of2,of3,of4,ss1
1086,p1,ut1,b2a,b3a,ss2,of3,of5,of4,ut2
1087,p1,c1,ut2,b3a,ut3,of1,of2,of5,ss1
1088,p1,ut1,b2b,b3a,ss2,of3,of5,of1,ut2
1089,p1,c1,ut2,b3a,ss2,of2,of5,of4,b2a
1090,p2,c1,b2a,b3a,ss1,of2,of5,of1,ut3
1091,p1,ut1,ut2,b3a,ss1,of1,of5,of4,c2
1092,p1,c1,b2b,b3b,ss1,of2,of1,of4,b2a
1093,p2,c1,b2a,b3b,ss1,of2,of3,of5,b3a
1094,p2,c2,b2a,b3a,ss2,of2,of5,of3,ut3
1095,p1,ut1,b2b,b3a,ut3,of2,of3,of1,ut2
1096,p1,c2,ut2,b3b,ss2,of1,of4,of5,ss1
1097,p1,c2,ut2,b3b,ut3,of3,of4,of1,c1
1098,p1,ut1,b2b,b3b,ss2,of5,of4,of3,ut2
1099,p2,ut1,b2b,b3a,ss1,of4,of2,of3,ss2
1100,p1,c1,b2b,b3a,ss2,of2,of1,of4,ut3
1101,p2,c1,b2b,b3b,ss1,of1,of3,of4,b3a
1102,p2,c2,b2a,b3b,ss1,of3,of4,of5,of2
1103,p2,c2,b2b,b3b,ss2,of1,of3,of4,c1
1104,p1,c1,ut2,b3b,ss2,of3,of1,of2,c2
1105,p1,ut1,b2b,b3b,ss1,of2,of5,of4,c1
1106,p2,ut1,b2a,b3b,ss1,of2,of5,of4,b2b
1107,p1,c2,b2a,b3b,ss2,of2,of5,of3,c1
1108,p2,ut1,ut2,b3a,ss2,of1,of2,of4,c2
1109,p1,c1,ut2,b3a,ss1,of3,of5,of4,c2
1110,p1,c2,ut2,b3a,ut3,of3,of5,of1,c1
1111,p2,c2,b2a,b3b,ss1,of1,of3,of4,ut1
1112,p2,c1,ut2,b3b,ss2,of2,of1,of3,ut1
1113,p1,c2,b2a,b3a,ss2,of2,of3,of5,of4
1114,p1,ut1,b2b,b3b,ss2,of3,of1,of4,of5
1115,p1,c2,b2b,b3b,ss1,of4,of5,of1,ut3
1116,p2,ut1,ut2,b3b,ss1,of3,of4,of1,c1
1117,p1,c2,b2a,b3a,ss1,of3,of4,of2,of5
1118,p2,c2,b2b,b3b,ss1,of4,of3,of5,b3a
1119,p1,ut1,b2b,b3b,ss2,of2,of1,of4,b2a
1120,p2,c2,ut2,b3b,ss2,of5,of4,of3,b2b
1121,p1,c2,b2a,b3b,ss1,of1,of3,of5,b2b
1122,p2,c2,ut2,b3a,ss2,of3,of2,of5,ss1
1123,p2,c2,b2a,b3a,ss2,of5,of3,of2,of1
1124,p2,c2,b2a,b3b,ss2,of1,of3,of2,c1
1125,p2,c1,ut2,b3b,ss2,of4,of2,of5,ss1
1126,p2,c1,b2b,b3b,ss2,of1,of4,of5,ss1
1127,p2,c1,b2b,b3b,ut3,of1,of4,of2,of5
1128,p2,c1,b2b,b3a,ss2,of4,of2,of3,ss1
1129,p1,ut1,b2a,b3a,ss2,of3,of5,of4,b3b
1130,p2,c2,ut2,b3b,ss1,of4,of5,of1,ut3
1131,p2,ut1,b2b,b3b,ss2,of1,of2,of4,c2
1132,p1,c1,b2a,b3b,ss2,of1,of5,of4,of3
1133,p2,c2,b2a,b3a,ss2,of4,of3,of2,ut1
1134,p2,c2,b2b,b3b,ss2,of4,of5,of3,b3a
1135,p1,c2,ut2,b3a,ss2,of1,of2,of5,of3
1136,p1,c2,b2a,b3b,ss1,of3,of4,of2,ut1
1137,p2,ut1,ut2,b3a,ss1,of1,of5,of2,ut3
1138,p2,ut1,b2b,b3b,ss2,of2,of1,of4,b2a
1139,p2,c1,b2b,b3b,ut3,of1,of4,of5,b3a
1140,p2,c2,b2b,b3b,ss2,of2,of4,of1,b3a
1141,p2,c2,ut2,b3a,ss2,of1,of3,of2,b3b
1142,p2,c1,ut2,b3a,ut3,of1,of4,of2,ss1
1143,p1,c1,ut2,b3a,ut3,of1,of5,of3,ss1
1144,p1,c2,b2b,b3b,ss1,of2,of4,of5,ss2
1145,p1,c2,b2a,b3b,ss2,of3,of5,of4,ss1
1146,p2,ut1,b2b,b3a,ss1,of1,of2,of3,c2
1147,p2,c1,b2b,b3b,ut3,of1,of4,of5,c2
1148,p2,ut1,b2a,b3a,ut3,of2,of1,of5,b2b
1149,p2,ut1,ut2,b3a,ss1,of4,of5,of2,ut3
1150,p2,ut1,b2b,b3a,ss2,of4,of3,of5,ss1
1151,p1,c1,ut2,b3b,ss1,of2,of5,of3,ut3
1152,p2,ut1,ut2,b3b,ss2,of3,of5,of1,of4
1153,p1,c1,ut2,b3b,ut3,of2,of5,of4,ss1
1154,p1,c1,b2a,b3b,ss2,of1,of3,of4,ut1
1155,p1,c1,ut2,b3a,ss2,of3,of4,of2,of5
1156,p2,c1,b2a,b3a,ss1,of2,of3,of5,ut2
1157,p1,c2,ut2,b3b,ss1,of3,of4,of1,of2
1158,p1,ut1,ut2,b3a,ss1,of2,of5,of4,of1
1159,p1,c2,b2b,b3b,ss1,of3,of5,of1,c1
1160,p2,c1,b2b,b3a,ss2,of1,of3,of2,ut2
1161,p2,c2,b2b,b3a,ut3,of5,of4,of3,ss1
1162,p2,c2,b2b,b3a,ss2,of5,of3,of2,of4
1163,p2,c1,b2b,b3a,ss2,of4,of2,of5,of1
1164,p2,c2,ut2,b3a,ut3,of1,of3,of5,ut1
1165,p1,c2,ut2,b3b,ss1,of2,of3,of5,ut3
1166,p1,c2,b2a,b3b,ss1,of1,of3,of2,b2b
1167,p2,c2,b2b,b3b,ss1,of4,of5,of1,ut2
1168,p2,c1,b2a,b3a,ss1,of2,of3,of5,b2b
1169,p1,c1,b2b,b3a,ut3,of2,of5,of3,c2
1170,p1,c2,ut2,b3b,ss2,of2,of4,of5,b3a
1171,p2,c2,b2b,b3b,ss2,of2,of5,of3,ut3
1172,p1,ut1,b2b,b3a,ss1,of3,of5,of4,c2
1173,p1,ut1,b2a,b3a,ss1,of5,of1,of3,b2b
1174,p1,c2,b2b,b3b,ss2,of2,of1,of5,ut3
1175,p1,c2,b2b,b3b,ut3,of2,of5,of1,c1
1176,p2,ut1,b2a,b3a,ss2,of4,of3,of5,ss1
1177,p2,c2,b2b,b3b,ss1,of2,of5,of3,c1
1178,p1,c2,b2a,b3b,ut3,of3,of1,of5,b2b
1179,p2,c1,b2b,b3a,ut3,of5,of2,of3,ss1
1180,p2,c2,b2a,b3b,ss1,of2,of3,of5,b3a
1181,p1,c1,ut2,b3b,ss1,of3,of5,of1,ut3
1182,p1,c1,ut2,b3b,ss2,of1,of3,of2,ut1
1183,p1,c1,b2a,b3b,ss1,of4,of5,of1,ut3
1184,p2,c2,b2b,b3b,ss1,of3,of5,of1,ss2
1185,p1,c2,b2a,b3b,ut3,of1,of5,of2,ut1
1186,p2,c2,ut2,b3b,ss1,of5,of3,of2,ut1
1187,p1,ut1,b2b,b3a,ss2,of5,of3,of1,ut3
1188,p2,c2,b2a,b3b,ss1,of3,of4,of2,ut1
1189,p1,c1,ut2,b3b,ss1,of3,of4,of1,b2a
1190,p2,c2,b2b,b3a,ss2,of2,of5,of4,b3b
1191,p2,c2,b2a,b3b,ss2,of5,of4,of3,c1
1192,p2,ut1,b2b,b3b,ss2,of4,of1,of5,b3a
1193,p1,c1,b2a,b3b,ss2,of1,of4,of2,of5
1194,p1,c2,b2a,b3b,ss2,of4,of5,of3,ut3
1195,p2,c2,ut2,b3b,ss1,of2,of3,of5,b3a
1196,p2,c1,b2b,b3b,ss2,of4,of2,of5,ss1
1197,p2,ut1,ut2,b3b,ut3,of3,of5,of2,c1
1198,p1,c2,b2a,b3b,ss2,of4,of1,of3,b3a
1199,p2,ut1,b2b,b3a,ss1,of4,of3,of1,of5
1200,p2,c1,b2b,b3b,ss2,of2,of5,of1,ut3
1201,p2,c2,b2b,b3a,ut3,of5,of2,of4,ut1
1202,p1,ut1,b2b,b3a,ss1,of1,of2,of4,ut3
1203,p1,ut1,ut2,b3a,ss1,of2,of5,of4,ss2
1204,p2,c1,b2b,b3a,ss2,of1,of4,of3,ut2
1205,p1,c2,b2a,b3b,ss2,of4,of5,of2,b3a
1206,p2,ut1,b2b,b3b,ut3,of1,of4,of5,c2
1207,p1,ut1,b2a,b3a,ss2,of1,of5,of4,of3
1208,p1,c1,ut2,b3b,ss2,of1,of5,of4,b3a
1209,p2,ut1,b2a,b3b,ss1,of2,of5,of3,ut2
1210,p2,c2,b2b,b3a,ss2,of1,of3,of2,c1
1211,p1,ut1,ut2,b3a,ss1,of1,of2,of5,c1
1212,p2,c1,b2a,b3a,ss2,of1,of2,of3,ut2
1213,p1,ut1,b2b,b3b,ss2,of5,of3,of1,ut2
1214,p1,c1,b2a,b3b,ut3,of2,of1,of3,b2b
1215,p2,c2,ut2,b3a,ss2,of2,of4,of5,ss1
1216,p1,c2,b2b,b3b,ss2,of3,of2,of1,c1
1217,p2,c1,b2b,b3b,ss2,of3,of4,of5,b3a
1218,p2,c2,b2a,b3b,ss1,of2,of1,of5,b2b
1219,p1,c1,b2b,b3b,ut3,of1,of4,of5,ut1
1220,p1,ut1,b2a,b3a,ss2,of2,of3,of4,of1
1221,p1,c1,b2a,b3a,ss2,of5,of1,of3,ut1
1222,p2,c2,b2a,b3b,ss1,of1,of3,of2,b2b
1223,p2,c2,b2a,b3b,ss2,of3,of2,of4,b3a
1224,p1,c1,b2b,b3b,ut3,of1,of4,of2,ut1
1225,p1,ut1,b2a,b3a,ss2,of2,of5,of4,of3
1226,p2,c1,b2a,b3b,ut3,of2,of5,of3,ut2
1227,p2,c2,b2a,b3b,ut3,of2,of5,of4,ut2
1228,p1,ut1,ut2,b3a,ut3,of1,of5,of3,ss1
1229,p2,c1,b2a,b3b,ss2,of4,of1,of3,ut1
1230,p1,c1,ut2,b3b,ss1,of4,of3,of1,b3a
1231,p1,c1,b2b,b3a,ss2,of3,of1,of5,ut3
1232,p1,c2,b2a,b3b,ut3,of2,of5,of3,c1
1233,p1,ut1,b2a,b3b,ut3,of5,of1,of3,ut2
1234,p1,c1,ut2,b3b,ss2,of3,of4,of2,b2a
1235,p1,c2,ut2,b3b,ss2,of3,of5,of1,of2
1236,p2,c1,b2b,b3a,ss2,of2,of5,of3,b3b
1237,p2,c1,b2a,b3a,ss2,of5,of3,of2,of1
1238,p2,c1,ut2,b3b,ss1,of5,of2,of1,ut3
1239,p2,c2,b2a,b3a,ss1,of3,of2,of1,ut3
1240,p2,ut1,b2b,b3a,ss1,of4,of2,of3,c2
1241,p2,c1,ut2,b3b,ss1,of4,of3,of2,b2b
1242,p2,c2,b2b,b3a,ut3,of5,of4,of3,of2
1243,p1,c2,b2b,b3a,ut3,of1,of2,of4,ut1
1244,p1,c1,ut2,b3b,ss1,of1,of4,of2,ut1
1245,p2,c2,b2a,b3b,ss1,of4,of3,of2,b2b
1246,p1,c1,b2a,b3b,ss1,of1,of5,of4,c2
1247,p1,ut1,b2b,b3a,ss1,of1,of2,of3,ut3
1248,p2,c2,b2b,b3a,ss2,of1,of3,of2,b3b
1249,p2,c2,b2b,b3b,ss2,of1,of5,of3,ut1
1250,p2,ut1,b2b,b3a,ss2,of1,of3,of4,ut3
1251,p1,c2,ut2,b3a,ss2,of1,of3,of5,of4
1252,p2,c1,ut2,b3a,ss1,of2,of5,of1,ut1
1253,p2,ut1,b2b,b3b,ut3,of3,of5,of1,c1
1254,p2,ut1,b2a,b3a,ss2,of4,of2,of5,ss1
1255,p2,c2,ut2,b3b,ss2,of2,of5,of3,c1
1256,p2,ut1,ut2,b3a,ss1,of5,of2,of3,of4
1257,p2,ut1,b2a,b3a,ut3,of3,of2,of5,b2b
1258,p1,c2,b2b,b3b,ss1,of3,of1,of4,ut2
1259,p2,ut1,b2b,b3a,ss2,of4,of1,of2,ut2
1260,p2,c1,b2a,b3b,ut3,of2,of1,of3,ut2
